date,CO,NO_2,O_3,SO_2,PM10,PM25
2004-02-15,1.0682446122230165,79.18078195765074,12.400775814757099,20.510930078139697,51.81500398410168,27.801168740770684
2004-02-22,0.6829495418050257,59.86548746026082,21.75646742561666,13.175073021210562,28.5555066913528,18.071945740777114
2004-02-29,0.6079533875827258,55.101928092682975,31.068002960808787,11.54796316717239,15.116385817276594,11.207460301752938
2004-03-07,0.7464102561604368,69.56032293765391,29.89458997285477,16.903426877799472,35.353642619664114,19.929010626753094
2004-03-14,0.5818206041537893,56.74153881637734,29.954483276332887,12.119739073254756,24.07001682353351,14.87489714431248
2004-03-21,0.6549051272339655,58.46953502575604,27.143495363263288,13.352462367533612,58.53211133660358,25.764722244961852
2004-03-28,0.4828908125407966,45.4139979918107,48.089358716824684,9.683806335678554,15.615577187887244,10.867698438492623
2004-04-04,0.5915000833334714,53.48593613308921,38.88060695651383,9.522769679579369,17.300782223350662,12.639559216003294
2004-04-11,0.5010516556240648,45.710824295491285,52.2092730761689,9.747554041992242,23.49153288057336,12.825306125897539
2004-04-18,0.4687956957728686,46.972234195029294,49.879459617013886,9.258889597734893,25.33640238347944,14.595878693309366
2004-04-25,0.5143953293108725,47.56042216302021,46.87525412212921,8.970375256381535,22.160613545553847,13.237477307974489
2004-05-02,0.5063724426507562,56.84304055579399,45.95212220226547,7.9313858318399175,25.7841658910088,15.19957056812216
2004-05-09,0.4719086990225377,48.7665080249429,52.93047139246086,8.048634341493923,17.579969282976688,11.414579093743482
2004-05-16,0.4875858966879983,54.3169425266026,46.83288933104158,7.538209246413804,21.125590852051104,14.670150930649026
2004-05-23,0.4489969776766269,61.69882862480121,46.87108814271064,7.3650320489467465,28.468556774775863,15.875334465314472
2004-05-30,0.5402387350353651,66.85882190880186,29.56758200242788,7.253850241032974,28.24365596742693,18.156852329382158
2004-06-06,0.4570040283163994,59.232411456512786,48.6328871891139,7.467134988279416,30.981246773355235,16.33371454940226
2004-06-13,0.3999181925421379,59.596415051206435,48.160323453907786,6.538476567119683,44.119104432317535,21.820999172877286
2004-06-20,0.3946648424892584,51.42647713900903,62.98213435617575,6.341329827701823,28.12926941227783,16.080303292020375
2004-06-27,0.4410583948359281,55.42041409912075,41.255555031219785,6.86569679512201,30.45871995050933,18.655107720909207
2004-07-04,0.5033336972734584,69.69457856213117,55.80435514379838,7.754746792089258,44.388767822954456,24.003806330155918
2004-07-11,0.40188998757961336,50.972143352155456,47.44775615259615,6.683811484585313,35.356606952405755,18.502509744225872
2004-07-18,0.3990772156462346,54.807889500899236,54.79549838571076,6.8433759131001555,34.58502612631882,20.131380533176113
2004-07-25,0.5192633958968567,68.43416443443407,39.33710013085753,8.13032803269347,69.76376438555022,33.24177973033973
2004-08-01,0.4523044737178867,63.915076262324526,59.4036774980892,7.455516689225769,48.293853223023326,26.277646726501636
2004-08-08,0.37690477681903306,50.5174339497259,52.98644682033732,6.541804299217486,36.49936487743147,20.329321973027067
2004-08-15,0.3608378203233512,46.12674372903408,42.86806302356854,5.940087397002539,23.116099518439835,12.902010693339438
2004-08-22,0.30756602576324865,38.94815177269774,40.940664793835296,5.677908872391932,20.35650124473227,11.177332053083479
2004-08-29,0.5242843099583966,70.4016871276416,48.60144749084234,8.314905579507299,43.00482881499177,22.383981720081906
2004-09-05,0.4240993738301034,56.677804111672316,35.13171558880723,7.20384266267122,49.11551250884047,22.544463548022414
2004-09-12,0.4543195050741941,54.59205299657157,39.06924352134586,6.8564965177874635,49.49554986233328,24.30597364851179
2004-09-19,0.691416941152582,71.83544307847572,34.18016893760993,9.264960709175538,39.27995547013729,21.102868112583398
2004-09-26,0.5724663551365913,63.16483671216189,34.70869187578744,8.625331398740354,35.65296906531344,18.674966021502172
2004-10-03,0.9695203594339744,90.11602912102224,26.626880354829453,12.632613603572153,55.71920010655954,29.105733846111523
2004-10-10,0.7329644602411045,70.38337022189833,27.66783598238889,10.039690634943335,52.97053280129862,24.152301255550213
2004-10-17,0.4849156436097945,50.0988272709556,33.72924886975914,7.292748724407003,16.381147746900467,9.910900307470792
2004-10-24,0.7451850805296313,60.80913833850828,15.161625007995402,8.691828067001632,33.92954126847753,22.527354358264628
2004-10-31,0.5951454207759636,56.00868276873625,21.986104809864827,7.760532872755941,17.111886692779766,12.947917952079349
2004-11-07,0.8117008235591593,64.93690834696953,15.067533391383767,13.543483059685594,28.7490861022643,22.243415208888198
2004-11-14,0.6892839356911823,57.7503693631429,22.72877069227533,13.870210904755561,21.036110973620428,14.800638812169636
2004-11-21,1.333441628486952,89.25508685598001,8.392051416786654,22.95953124116954,50.69267775885636,34.04665958861104
2004-11-28,1.3923917267439032,89.6948102430763,6.407372162726407,21.360615726772693,61.95681066047372,41.73631165394572
2004-12-05,0.6614212602116704,55.8665524111823,16.98472426065413,13.411025570954369,22.232867325591087,16.428071484275907
2004-12-12,1.101623784487455,65.50308313172347,11.672900025395288,20.195644116541796,35.41634377430327,22.212892226507364
2004-12-19,0.7502048148358493,63.68881073477864,18.756274726394185,16.155608761534136,27.191213726026287,17.806428568621424
2004-12-26,0.8540223728339814,63.30822397356412,20.416040429307774,17.189601586611627,23.800833376135486,15.225486803191648
2005-01-02,0.9626276551635126,69.7547045998758,17.35648628508508,20.277091582582386,30.72259356302243,19.728857364663924
2005-01-09,1.2048277467526431,80.70660325303929,11.212099950008893,23.999471919636893,37.720336605159346,24.208014463929807
2005-01-16,1.488045511965541,108.15640018940815,7.434491837740786,28.373231372441712,69.36552919371395,41.590176502153994
